Country,LE_index,smoking,narco,Obesity,GDP,Happiness,ge,meat,corr,ed,aversal,inflation,co2,alcohol
Afghanistan,66.29,21.3,1.36,17.7,2202.0,1.72,0.7152340425531916,9.6,16.0,0.381,0.172,5.7,0.14,0.4
Albania,79.78,20.7,0.7,26.6,23488.0,5.3,0.763,47.9,39.0,0.739,0.511,2.3,1.59,5.9
Algeria,76.48,21.1,2.46,24.2,17553.0,5.36,0.614,22.4,34.0,0.664,0.356,1.5,3.89,0.8
Andorra,84.19,36.4,1.737102272727273,20.5,74940.0,5.503093525179857,0.7152340425531916,67.46573033707865,42.083333333333336,0.742,1.38,5.616666666666667,4.7582065217391305,5.9
Angola,64.8,17.67142857142857,1.09,10.5,8348.0,5.503093525179857,0.668,34.0,32.0,0.532,0.134,14.56,0.57,6.0
Antigua and Barbuda,77.77,17.67142857142857,1.21,34.1,33602.0,5.503093525179857,0.7152340425531916,136.2,42.083333333333336,0.781,0.964,3.1,2.99,6.5
Argentina,77.54,22.6,1.45,36.0,30175.0,6.19,0.762,116.9,36.0,0.87,0.534,32.4,4.05,6.8
Armenia,75.85,24.1,0.97,27.9,22823.0,5.46,0.731,56.4,46.0,0.777,0.648,4.3,2.2,5.7
Aruba,76.5,17.67142857142857,1.737102272727273,23.48276595744681,44967.0,5.503093525179857,0.7152340425531916,67.46573033707865,42.083333333333336,0.6708172043010753,1.2026,0.4,4.22,5.4271276595744675
Australia,84.07,0.1,6.56,31.8,71193.0,7.06,0.792,145.5,76.0,0.923,4.325,3.8,15.01,4.4
Austria,82.12,22.5,1.81,17.0,71618.0,6.91,0.735,91.3,69.0,0.866,2.282,2.2,6.75,12.0
Azerbaijan,74.58,18.7,0.49,27.5,25089.0,4.89,0.688,38.9,30.0,0.706,0.601,5.7,3.61,6.0
Bahamas,74.71,17.67142857142857,1.737102272727273,23.48276595744681,41198.0,5.503093525179857,0.7152340425531916,109.3,64.0,0.754,1.971,1.2,3.64,6.7
Bahrain,81.42,14.3,1.737102272727273,37.2,67211.0,5.96,0.684,97.0,50.0,0.819,1.835,1.3,24.75,1.6
Bangladesh,74.93,30.8,2.34,5.3,9647.0,3.89,0.775,31.0,24.0,0.577,0.173,8.58,0.64,0.8
Barbados,76.33,6.7,0.35,38.2,22672.0,5.503093525179857,0.786,115.9,68.0,0.788,1.191,1.7,2.39,6.7
Belarus,74.62,28.9,3.17,26.6,33006.0,5.503093525179857,0.736,102.2,31.0,0.796,0.728,6.4,6.26,18.8
Belgium,82.27,26.3,1.97,22.0,72126.0,6.89,0.773,84.5,69.0,0.917,2.461,1.45,7.77,8.1
Belize,73.74,8.3,0.43,41.9,15093.0,5.503093525179857,0.702,61.8,36.0,0.638,0.581,0.04,0.67,7.3
Benin,60.96,5.5,2.36,9.9,4435.0,4.38,0.676,30.7,45.0,0.389,0.217,0.9,0.7,6.4
